panel,cfg_weight,block_id,anchor_target_rho,lpips_alex,dino_cosine_distance,seed_count,severity_tv,severity_surprisal,connected_components,bounding_box_area,D_desc_rate,descendant_count,first_descendant_step,maximum_seed_to_descendant_radius,descendant_connected_components,descendant_fraction_distance_le_5,split_incidence,expected_seed_count,single_seed_probability,multi_seed_probability,unconditional_lpips_alex,unconditional_dino_cosine_distance
official_cfg1,1.0,P3S_B000,0.3,0.014708123868331313,0.004297956824302673,1.0,0.01241688743744072,8.277486244634538,1.0,1.0,0.021551724137931036,1.25,31.0,7.0,1.5,0.625,0.13787741963685196,0.1474727933409633,0.12867244462132252,0.009204975015529575,0.0020279181666647147,0.0005925911966454513
official_cfg1,1.0,P3S_B000,0.5,0.06970445904880762,0.019502922892570496,1.25,0.008911861295895563,7.775315310402878,1.25,17.25,0.09322033898305085,11.0,26.75,12.75,7.25,0.4820384294068505,0.0589554240553557,0.06051184161239337,0.05742182434190926,0.001533599713446395,0.004109455941771629,0.0011498030894503978
official_cfg1,1.0,P3S_B001,0.3,0.012717950157821178,0.005865007638931274,1.0,0.008390148841386334,7.596302760911978,1.0,1.0,0.01293103448275862,0.75,31.0,1.75,1.5,0.5,0.14864948213526574,0.15984240166158897,0.1379465262015865,0.010702955933679308,0.0018905167047822394,0.0008718303482465116
official_cfg1,1.0,P3S_B001,0.5,0.04301731754094362,0.013244196772575378,1.0,0.009153692409463694,8.314404668250926,1.0,1.0,0.057203389830508475,6.75,27.75,11.5,5.25,0.6104166666666666,0.07810629824975479,0.08089138965518738,0.07537639213839617,0.002729906111358608,0.003359923433757351,0.0010344551831972123
official_cfg1,1.0,P3S_B002,0.3,0.008049134521570522,0.0030023902654647827,1.0,0.014138400463021429,7.042905814413632,1.0,1.0,0.02586206896551724,1.5,30.0,3.75,2.25,0.3333333333333333,0.159009190923876,0.17199299496143716,0.14664180965021528,0.012367381273660603,0.0012798863679123684,0.0004774076469492764
official_cfg1,1.0,P3S_B002,0.5,0.03635641187429428,0.017474666237831116,1.0,0.017495819525022206,7.620061725889825,1.0,1.0,0.06779661016949153,8.0,26.75,15.5,7.25,0.24478021978021977,0.09564260518090517,0.09977976416782575,0.0916025894675271,0.004040015713378067,0.0034772219466875005,0.0016713226036529749
official_cfg1,1.0,P3S_B003,0.3,0.014538859948515892,0.005523383617401123,1.0,0.015656393586600748,7.791603809583676,1.0,1.0,0.05603448275862069,3.25,30.25,10.5,3.0,0.5833333333333333,0.15422912209190043,0.1663660978739473,0.14264666525103073,0.011582456840869846,0.0022423156060766987,0.0008518666062885604
official_cfg1,1.0,P3S_B003,0.5,0.042734114453196526,0.015750452876091003,1.0,0.013328269385947597,7.2726589059538895,1.0,1.0,0.0805084745762712,9.5,26.5,15.75,8.0,0.5138888888888888,0.08361312551695943,0.08681467125126116,0.08047958109848675,0.0031335444184727767,0.0035731328756312313,0.0013169445932775517
official_cfg1,1.0,P3S_B004,0.3,0.018482059123925865,0.05022595822811127,1.0,0.017096669442037284,6.0690401596072565,1.0,1.0,0.03017241379310345,1.75,30.333333333333332,4.5,2.25,0.35,0.12522616628266026,0.13300582826902463,0.11772833237106775,0.0074978339115925035,0.0023144374090986984,0.0062896041967794095
official_cfg1,1.0,P3S_B004,0.5,0.03137200401397422,0.015339910984039307,1.0,0.015908086280542064,6.46214481130661,1.0,1.0,0.048728813559322036,5.75,26.666666666666668,10.5,5.5,0.21904761904761905,0.09519507168280161,0.09922145977504301,0.09125955512820613,0.003935516554595411,0.002986460170943416,0.0014602839257334176
