block_id,anchor_target_rho,lpips_alex,prediction_S0,prediction_S1,abs_error_S0,abs_error_S1,propagation_contribution,rank_y,rank_c
P3S_B000,0.3,0.008972893469035625,0.013448737254738205,0.005851653727678799,0.00447584378570258,0.0031212397413568262,-0.007597083527059406,181.0,40.0
P3S_B000,0.3,0.018415596336126328,0.01328513296580746,0.010873441229154492,0.005130463370318868,0.007542155106971836,-0.0024116917366529683,257.0,134.0
P3S_B000,0.3,0.021108007058501244,0.013032032497799991,0.01691601069670779,0.008075974560701252,0.004191996361793453,0.0038839781989077997,270.0,236.0
P3S_B000,0.3,0.03582464158535004,0.017572891177956587,0.02462000463795592,0.01825175040739345,0.011204636947394115,0.0070471134599993344,311.0,273.0
P3S_B000,0.3,0.012599635869264603,0.013055220904239974,0.005222065173381229,0.00045558503497537123,0.0073775706958833735,-0.007833155730858745,217.0,35.0
P3S_B000,0.3,0.02628827653825283,0.017931563391551997,0.01444387365687353,0.008356713146700834,0.0118444028813793,-0.003487689734678466,296.0,110.0
P3S_B000,0.3,0.01408897340297699,0.01155392616022189,0.009313466912340342,0.0025350472427550994,0.004775506490636648,-0.002240459247881549,232.0,138.0
P3S_B000,0.3,0.02440585568547249,0.015628112509565147,0.01688330599490507,0.008777743175907342,0.007522549690567419,0.0012551934853399227,288.0,198.0
P3S_B000,0.5,0.032265130430459976,0.02323315433001686,0.01196708699628062,0.009031976100443116,0.020298043434179354,-0.01126606733373624,190.0,115.0
P3S_B000,0.5,0.03187711909413338,0.037024324900543165,0.018282486988960678,0.005147205806409788,0.0135946321051727,-0.018741837911582487,188.0,47.0
P3S_B000,0.5,0.0569939911365509,0.03595228892471451,0.034700493315468164,0.02104170221183639,0.02229349782108274,-0.0012517956092463478,274.0,174.0
P3S_B000,0.5,0.06466344743967056,0.04264434197390439,0.053242322887987886,0.022019105465766173,0.011421124551682676,0.010597980914083496,292.0,235.0
P3S_B000,0.5,0.08374357968568802,0.034485600753803185,0.0717916348409417,0.049257978931884834,0.01195194484474632,0.037306034087138513,311.0,303.0
P3S_B000,0.5,0.06053297594189644,0.03665940090526833,0.04541509712556718,0.02387357503662811,0.015117878816329255,0.008755696220298856,283.0,228.0
P3S_B000,0.5,0.07434502243995667,0.03462791712380907,0.04166350099363071,0.0397171053161476,0.03268152144632595,0.007035583869821643,300.0,219.0
P3S_B000,0.5,0.04319722205400467,0.0308044350518143,0.024221789846896734,0.012392787002190368,0.018975432207107935,-0.006582645204917567,237.0,143.0
P3S_B001,0.3,0.021213307976722717,0.011194195498169007,0.012963933419015404,0.01001911247855371,0.008249374557707313,0.0017697379208463978,271.0,203.0
P3S_B001,0.3,0.0026322733610868454,0.010420549757590703,0.00323869484069899,0.007788276396503858,0.0006064214796121445,-0.007181854916891713,77.0,48.0
P3S_B001,0.3,0.01190139353275299,0.019721381210811562,0.017026742378780824,0.007819987678058572,0.005125348846027833,-0.0026946388320307386,212.0,128.0
P3S_B001,0.3,0.021469146013259888,0.011926103857880989,0.01648837954402409,0.009543042155378899,0.004980766469235797,0.004562275686143102,273.0,243.0
P3S_B001,0.3,0.004071389324963093,0.012500871131237542,0.00561439609135294,0.008429481806274449,0.001543006766389847,-0.006886475039884602,111.0,54.0
P3S_B001,0.3,0.03978956863284111,0.011293916327531319,0.03399157577670581,0.02849565230530979,0.005797992856135303,0.022697659449174488,316.0,318.0
P3S_B001,0.3,0.014315053820610046,0.012424291010306768,0.016233822755018223,0.0018907628103032783,0.001918768934408177,0.0038095317447114554,234.0,235.0
P3S_B001,0.3,0.03933416306972504,0.01495131682910161,0.04709511082102183,0.024382846240623427,0.007760947751296793,0.032143793991920216,314.0,320.0
P3S_B001,0.5,0.011870874091982841,0.02622579709209251,0.011476909661710295,0.014354923000109668,0.0003939644302725469,-0.014748887430382215,85.0,82.0
P3S_B001,0.5,0.08084288239479065,0.04133135223735535,0.06365972061935254,0.0395115301574353,0.017183161775438105,0.022328368381997192,307.0,280.0
P3S_B001,0.5,0.05054372921586037,0.03547426068730068,0.04193447361683671,0.015069468528559685,0.00860925559902366,0.0064602129295360244,258.0,216.0
P3S_B001,0.5,0.06756681203842163,0.03521963500530691,0.04418640019738237,0.032347177033114724,0.023380411841039263,0.008966765192075461,293.0,230.0
P3S_B001,0.5,0.04627680778503418,0.036020272900268165,0.03254411785134078,0.010256534884766015,0.0137326899336934,-0.0034761550489273846,248.0,163.0
P3S_B001,0.5,0.07075152546167374,0.031606830544935335,0.05392722958841636,0.0391446949167384,0.01682429587325738,0.022320399043481022,296.0,278.0
P3S_B001,0.5,0.031957484781742096,0.03707638100411688,0.021034648898465187,0.005118896222374783,0.010922835883276909,-0.016041732105651692,189.0,74.0
P3S_B001,0.5,0.08636191487312317,0.03858697012955084,0.053274676381078585,0.04777494474357233,0.033087238492044584,0.014687706251527745,312.0,255.0
P3S_B002,0.3,0.0149899423122406,0.01992223133251896,0.007916011125862654,0.004932289020278358,0.007073931186377946,-0.012006220206656305,238.0,9.0
P3S_B002,0.3,0.0029977012891322374,0.007208392431918195,0.0021589155593098076,0.0042106911427859574,0.0008387857298224298,-0.005049476872608387,88.0,82.0
P3S_B002,0.3,0.00014843189273960888,0.014275426615054723,0.004831152361359833,0.014126994722315114,0.004682720468620224,-0.00944427425369489,18.0,23.0
P3S_B002,0.3,0.00661880150437355,0.01261117673920879,0.005231034278169932,0.005992375234835239,0.0013877672262036182,-0.007380142461038857,154.0,46.0
P3S_B002,0.3,0.023903725668787956,0.022369391424398873,0.017110649044008486,0.0015343342443890837,0.00679307662477947,-0.005258742380390386,286.0,78.0
P3S_B002,0.3,0.011418796144425869,0.01644008561482133,0.006611927573057442,0.00502128947039546,0.004806868571368427,-0.009828158041763888,202.0,19.0
P3S_B002,0.3,0.006754761096090078,0.0069238386835293805,0.003046852799449499,0.00016907758743930218,0.0037079082966405795,-0.0038769858840798817,158.0,101.0
P3S_B002,0.3,0.019129905849695206,0.008554447197185858,0.025525086025196764,0.010575458652509348,0.006395180175501558,0.016970638828010906,260.0,312.0
P3S_B002,0.5,0.024342967197299004,0.029479978965252784,0.03281717657769318,0.005137011767953781,0.008474209380394178,0.003337197612440397,145.0,198.0
P3S_B002,0.5,0.048103220760822296,0.028311049816747112,0.045716141256523055,0.019792170944075184,0.0023870795042992415,0.017405091439775942,250.0,267.0
P3S_B002,0.5,0.0022713306825608015,0.02472910446348411,0.005344157614097806,0.02245777378092331,0.0030728269315370045,-0.019384946849386304,27.0,43.0
P3S_B002,0.5,0.014713123440742493,0.03940283290433867,0.01399319904537594,0.02468970946359618,0.0007199243953665523,-0.02540963385896273,101.0,7.0
P3S_B002,0.5,0.010983562096953392,0.03317726701438109,0.020212845534693616,0.022193704917427698,0.009229283437740224,-0.012964421479687474,80.0,96.0
P3S_B002,0.5,0.03515950217843056,0.04370184861603271,0.03287713494687862,0.008542346437602155,0.0022823672315519378,-0.010824713669154093,204.0,118.0
P3S_B002,0.5,0.03669852018356323,0.02788718239335861,0.046482215918184314,0.008811337790204623,0.009783695734621081,0.018595033524825704,213.0,270.0
P3S_B002,0.5,0.022570669651031494,0.02765167279659897,0.016460217621255078,0.005081003145567475,0.006110452029776416,-0.011191455175343892,135.0,116.0
P3S_B003,0.3,0.005393613129854202,0.00678055776531784,0.004574424705053828,0.0013869446354636376,0.0008191884248003739,-0.0022061330602640115,142.0,140.0
P3S_B003,0.3,0.01233766507357359,0.009752461369795332,0.008676761958636755,0.0025852037037782574,0.0036609031149368344,-0.001075699411158577,214.0,161.0
P3S_B003,0.3,0.000860656495206058,0.007039326258989514,0.0020104712257830726,0.006178669763783456,0.0011498147305770146,-0.0050288550332064415,35.0,83.0
P3S_B003,0.3,0.029536835849285126,0.014109087865899213,0.02149731809346543,0.015427747983385913,0.008039517755819695,0.0073882302275662184,304.0,275.0
P3S_B003,0.3,0.00167185312602669,0.006041784789058558,0.0017273401323625315,0.004369931663031868,5.548700633584147e-05,-0.004314444656696026,53.0,96.0
P3S_B003,0.3,0.009267977438867092,0.010932171435196578,0.019054888954359188,0.0016641939963294855,0.009786911515492096,0.00812271751916261,185.0,282.0
P3S_B003,0.3,0.008862213231623173,0.012246393503105293,0.0066165821648229775,0.0033841802714821203,0.0022456310668001953,-0.0056298113382823155,180.0,73.0
P3S_B003,0.3,0.0006330488831736147,0.007071187278715191,0.0037752260430916687,0.006438138395541576,0.003142177159918054,-0.0032959612356235225,29.0,113.0
P3S_B003,0.5,0.010913903824985027,0.03703678277014252,0.01505043087313112,0.026122878945157496,0.004136527048146092,-0.021986351897011404,78.0,26.0
P3S_B003,0.5,0.03445792198181152,0.02457226233666914,0.04585237452143498,0.009885659645142382,0.011394452539623456,0.02128011218476584,201.0,276.0
P3S_B003,0.5,0.03441819176077843,0.03465028361781956,0.04759558048768421,0.00023209185704113622,0.013177388726905784,0.012945296869864648,200.0,246.0
P3S_B003,0.5,6.631831638514996e-05,0.022681044057786447,0.008180648779724364,0.022614725741401297,0.008114330463339214,-0.014500395278062083,10.0,83.0
P3S_B003,0.5,0.0422714464366436,0.035104296914316206,0.059375875476399456,0.007167149522327394,0.017104429039755856,0.02427157856208325,235.0,287.0
P3S_B003,0.5,0.0038004070520401,0.02614783586011673,0.008983669570586092,0.02234742880807663,0.005183262518545992,-0.017164166289530637,39.0,65.0
P3S_B003,0.5,0.024939822033047676,0.03819693942771546,0.03659364769661525,0.013257117394667783,0.011653825663567575,-0.001603291731100208,148.0,170.0
P3S_B003,0.5,0.026426449418067932,0.04170542911787174,0.023457378032449214,0.01527897969980381,0.0029690713856187177,-0.018248051085422528,158.0,53.0
P3S_B004,0.3,0.004484989680349827,0.006930413099843987,0.002141867293721681,0.0024454234194941603,0.0023431223866281457,-0.004788545806122306,121.0,87.0
P3S_B004,0.3,0.017558973282575607,0.0037842047162893466,0.008795937211307843,0.01377476856628626,0.008763036071267764,0.005011732495018496,252.0,247.0
P3S_B004,0.3,0.0015955636044964194,0.008784448380298819,0.002953824065492029,0.007188884775802399,0.0013582604609956098,-0.0058306243148067895,50.0,68.0
P3S_B004,0.3,0.01044988352805376,0.014110656828764147,0.012944128681691647,0.0036607733007103863,0.0024942451536378862,-0.0011665281470725,195.0,157.0
P3S_B004,0.3,0.03261074423789978,0.012240216171218692,0.019208450845381014,0.02037052806668109,0.013402293392518767,0.006968234674162322,307.0,272.0
P3S_B004,0.3,0.003833034774288535,0.009020855746162147,0.0029516831244030886,0.005187820971873612,0.0008813516498854465,-0.006069172621759059,104.0,64.0
P3S_B004,0.3,0.0023598093539476395,0.005219752481678943,0.0016908763713232161,0.002859943127731303,0.0006689329826244234,-0.0035288761103557265,72.0,109.0
P3S_B004,0.3,0.00559613760560751,0.010147625668863871,0.003587680535505216,0.004551488063256361,0.0020084570701022937,-0.006559945133358655,147.0,57.0
