block_id,cell_id,anchor_target_rho,split_incidence,expected_seed_count,lpips_alex,unconditional_lpips_alex,dino_cosine_distance,unconditional_dino_cosine_distance,descendant_rate_cond
P2P_B000,W8_L1.00,0.1,0.4810863439478599,0.6501592795011077,0.002822804422748959,0.0013580126594201457,0.004433684051036835,0.0021329848503332475,0.0
P2P_B000,W8_L1.00,0.3,0.2119290418346903,0.2360072773185174,0.010588349841782474,0.0022439788365794544,0.015178315341472626,0.0032167258269830737,0.03879310344827586
P2P_B000,W8_L1.00,0.5,0.13629750808502838,0.14500860759268733,0.02962270291754976,0.004037500590405132,0.04112976789474487,0.00560588487216933,0.07521186440677967
P2P_B000,W8_L1.00,0.7,0.1169566717190772,0.12283117664192914,0.055955655756406486,0.006544387261127726,0.07880854606628418,0.009217185250932172,0.12207602339181287
P2P_B000,W8_L1.00,0.9,0.07178612555321351,0.07393249239074057,0.21991603076457977,0.01578691979563049,0.23871904611587524,0.017136715416417585,0.3838495575221239
P2P_B001,W8_L1.00,0.1,0.4887026535499278,0.6650891363868425,0.005345691373804584,0.0026124535594372594,0.003992050886154175,0.001950925861169886,0.0
P2P_B001,W8_L1.00,0.3,0.19880512607510537,0.21977903259064538,0.012151446280768141,0.0024157698098429803,0.008648708462715149,0.001719407576316916,0.036637931034482756
P2P_B001,W8_L1.00,0.5,0.12030595989110171,0.12710350435657192,0.0416023104917258,0.005005005897394724,0.04740642011165619,0.005703274876533627,0.07415254237288135
P2P_B001,W8_L1.00,0.7,0.08315036052853919,0.08611433144517423,0.1284238318912685,0.010678487922215485,0.16515356302261353,0.013732578307903134,0.2324561403508772
P2P_B001,W8_L1.00,0.9,0.08859915275104813,0.09187127622798913,0.17202010191977024,0.015240835286240591,0.17169146239757538,0.015211718103013616,0.3661504424778761
P2P_B002,W4_L1.00,0.3,0.9936285766650788,4.180447978916926,0.04114553448744118,0.04088337886888009,0.011679500341415405,0.01160508530039989,0.1206896551724138
P2P_B002,W4_L1.00,0.5,0.9778178811635025,2.8423908827936364,0.08113125897943974,0.07933159575140315,0.040287792682647705,0.03939412407770104,0.211864406779661
P2P_B002,W8_L1.00,0.1,0.5484159088654973,0.7866720386913196,0.007283561673830263,0.0039944210951315265,0.0025093480944633484,0.001376166415885021,0.0
P2P_B002,W8_L1.00,0.3,0.24909397987745463,0.2832498407040275,0.008903521786123747,0.0022178136766311876,0.0033499449491500854,0.0008344511197541721,0.02586206896551724
P2P_B002,W8_L1.00,0.5,0.13365058875373836,0.14212562469261747,0.04216461023315787,0.005635324982233451,0.014014527201652527,0.0018730498116061416,0.09639830508474576
P2P_B002,W8_L1.00,0.7,0.12976356738184758,0.1361742352460361,0.09101378917694092,0.011810273964539243,0.04346969723701477,0.005640782986483879,0.16666666666666666
P2P_B002,W8_L1.00,0.9,0.07036911020090142,0.07239156662291546,0.3116604574024677,0.021931269072217593,0.12130323052406311,0.008536000396473146,0.497787610619469
P2P_B003,W8_L1.00,0.1,0.5736579531987935,0.8429062928232306,0.0050192901148875535,0.0028793556938173314,0.0037756189703941345,0.0021659138506148353,0.0
P2P_B003,W8_L1.00,0.3,0.21254302375998047,0.23676208058056714,0.008288479813927552,0.0017616585620257221,0.004470229148864746,0.000950116020199717,0.03879310344827586
P2P_B003,W8_L1.00,0.5,0.12649743833589477,0.13403791805454676,0.035467076842905954,0.004486494365889937,0.014337994158267975,0.0018137195318959226,0.11228813559322035
P2P_B003,W8_L1.00,0.7,0.10179426465989594,0.10638571044321816,0.06494804800240672,0.0066113387875006155,0.028991274535655975,0.002951145472910266,0.14108187134502922
P2P_B003,W8_L1.00,0.9,0.06881024078064524,0.07077753300459698,0.1680181222036481,0.0115613674443449,0.05885865539312363,0.00405007824962586,0.2815265486725664
P2P_B004,W8_L1.00,0.1,0.5236393046410397,0.73360459875821,0.004137203439313453,0.0021664023321206144,0.0052899643778800964,0.0027700332684090037,0.0
P2P_B004,W8_L1.00,0.3,0.2420276218193096,0.2741805529783892,0.010559436836047098,0.002555675385179694,0.0084463432431221,0.0020442483682024367,0.06465517241379311
P2P_B004,W8_L1.00,0.5,0.12737095165371615,0.1349220070557604,0.014444311949773692,0.0018397857590258192,0.01610308140516281,0.002051064803132848,0.07733050847457627
P2P_B004,W8_L1.00,0.7,0.11664264668832636,0.12263480168084755,0.05538195092231035,0.006459897334341276,0.05679182708263397,0.006624349021184198,0.1783625730994152
P2P_B004,W8_L1.00,0.9,0.09530377762188968,0.0990404553188591,0.1674769725650549,0.01596118815012731,0.14934109151363373,0.014232770175425626,0.41648230088495575
P2P_B005,W4_L1.00,0.3,0.9843388762283819,3.462544583801627,0.01357840036507696,0.013365747356338905,0.03799363970756531,0.03739861661357086,0.08620689655172414
P2P_B005,W4_L1.00,0.5,0.9639463986899175,2.4369158965794764,0.0321832459885627,0.03102292406882675,0.10973884165287018,0.10578236120768732,0.15466101694915255
P2P_B005,W8_L1.00,0.1,0.4173620808821039,0.5357039752963091,0.001673414277320262,0.0006984196649602067,0.005088932812213898,0.0021239275879748093,0.0
P2P_B005,W8_L1.00,0.3,0.1945344023111809,0.21414418158695317,0.0025112688028343655,0.0004885281756020981,0.008569493889808655,0.0016670613719632435,0.023706896551724137
P2P_B005,W8_L1.00,0.5,0.13196325095630523,0.13997852732179006,0.019105674371530768,0.002521246901779764,0.05066876858472824,0.006686415424393448,0.0646186440677966
P2P_B005,W8_L1.00,0.7,0.10573532242207595,0.11067863995105812,0.03672249532019123,0.003882864882823595,0.08104252815246582,0.008569057844101141,0.12426900584795321
P2P_B005,W8_L1.00,0.9,0.07524664317377605,0.07758559311650669,0.1188845387659967,0.008945662467403899,0.17121540009975433,0.012883384117161514,0.33573008849557523
P2P_B006,W4_L1.00,0.3,0.9932214853067626,4.145590646830584,0.05054431292228401,0.050201697554480715,0.03344699740409851,0.03322027644075015,0.1206896551724138
P2P_B006,W4_L1.00,0.5,0.9346787297976807,2.263774300469826,0.17551305703818798,0.16404832121536142,0.09172794222831726,0.08573615652891861,0.2457627118644068
P2P_B006,W8_L1.00,0.1,0.5075429687551423,0.701868053291561,0.007652222644537687,0.0038838317985839836,0.006263986229896545,0.0031792421673630237,0.0
P2P_B006,W8_L1.00,0.3,0.22593590985082057,0.2536465547530602,0.016284874989651144,0.003679338047593703,0.009536288678646088,0.0021545900592099833,0.034482758620689655
P2P_B006,W8_L1.00,0.5,0.13271564009324277,0.14099547500856946,0.06161368382163346,0.00817709948689076,0.033563338220119476,0.004454379915549156,0.09533898305084745
