block_id,anchor_target_rho,lpips_alex,prediction_S0,prediction_S1,abs_error_S0,abs_error_S1,propagation_contribution,rank_y_within_rho,rank_c_within_rho
P2P_B000,0.1,0.0015383776044473052,0.002521473474049324,0.008867390160177492,0.0009830958696020187,0.007329012555730187,0.006345916686128168,108.0,298.0
P2P_B000,0.1,0.007612016052007675,0.009983376851745683,0.006017840110125128,0.002371360799738008,0.0015941759418825474,-0.003965536741620555,315.0,111.0
P2P_B000,0.1,0.005377751775085926,0.009321452949378861,0.007270507290688101,0.003943701174292935,0.001892755515602175,-0.00205094565869076,267.0,152.0
P2P_B000,0.1,1.6399060768890195e-05,-0.007181140827362195,0.0018431840786581055,0.007197539888131085,0.0018267850178892153,0.0090243249060203,11.0,328.0
P2P_B000,0.1,0.0010636919178068638,0.00827962417873205,0.009937790504109013,0.0072159322609251855,0.00887409858630215,0.001658166325376964,85.0,223.0
P2P_B000,0.1,0.0009239601786248386,0.0008653851541670643,0.00486592353522626,5.8575024457774294e-05,0.003941963356601422,0.004000538381059196,79.0,263.0
P2P_B000,0.1,0.005350463092327118,0.012112935235047709,0.004020525296509397,0.006762472142720591,0.0013299377958177205,-0.008092409938538311,264.0,72.0
P2P_B000,0.1,0.0006997757009230554,-0.00133483539913766,0.007486825689868838,0.0020346111000607153,0.006787049988945783,0.008821661089006498,67.0,324.0
P2P_B000,0.3,0.010322275571525097,0.020605134002646096,0.014861053256800281,0.010282858431120999,0.004538777685275185,-0.005744080745845814,237.0,113.0
P2P_B000,0.3,0.013020148500800133,0.019188448899691443,0.018176461919325627,0.00616830039889131,0.005156313418525495,-0.0010119869803658157,274.0,195.0
P2P_B000,0.3,0.006272577214986086,0.016107977824532632,0.001702244701486444,0.009835400609546546,0.004570332513499642,-0.014405733123046188,166.0,21.0
P2P_B000,0.3,2.1061001461930573e-05,-0.011618025378540009,-0.0006910451812271179,0.01163908638000194,0.0007121061826890485,0.010926980197312891,16.0,341.0
P2P_B000,0.3,0.00893134344369173,0.02086570983332911,0.007716317745840202,0.01193436638963738,0.001215025697851528,-0.013149392087488908,210.0,30.0
P2P_B000,0.3,0.029348131269216537,0.016654179498696707,0.030339569745118797,0.01269395177051983,0.0009914384759022593,0.01368539024642209,368.0,351.0
P2P_B000,0.3,0.0030073132365942,0.012115581903353066,0.016707581863356732,0.009108268666758866,0.013700268626762532,0.004591999960003666,96.0,261.0
P2P_B000,0.3,0.013783948495984077,0.012562871775789665,0.012916619081599176,0.0012210767201944125,0.0008673294143849014,0.00035374730580951114,284.0,209.0
P2P_B000,0.5,0.018545975908637047,0.030245216678642002,0.010908749736782901,0.011699240770004955,0.007637226171854146,-0.0193364669418591,149.0,51.0
P2P_B000,0.5,0.03047875687479973,0.053277779113711364,0.04036197392171767,0.022799022238911636,0.009883217046917941,-0.012915805191993694,226.0,113.0
P2P_B000,0.5,0.001015832182019949,0.00544172439151893,0.015348452585033978,0.004425892209498981,0.01433262040301403,0.009906728193515048,24.0,279.0
P2P_B000,0.5,0.05202452093362808,0.02752179083854652,0.024977221851244964,0.02450273009508156,0.027047299082383118,-0.002544568987301557,322.0,207.0
P2P_B000,0.5,0.060435205698013306,0.031624378330342866,0.07093304132085439,0.02881082736767044,0.010497835622841081,0.03930866299051152,341.0,361.0
P2P_B000,0.5,0.032503191381692886,0.03255201564432244,0.023166017086303677,4.882426262955292e-05,0.00933717429538921,-0.009385998558018763,237.0,144.0
P2P_B000,0.5,0.02701830305159092,0.037387807236462206,0.04567514144567595,0.010369504184871287,0.01865683839408503,0.008287334209213744,206.0,273.0
P2P_B000,0.5,0.014959837310016155,0.04127142724190682,0.012195489288425058,0.026311589931890665,0.0027643480215910968,-0.029075937953481762,121.0,6.0
P2P_B000,0.7,0.062202755361795425,0.09163033717984767,0.04485111279975745,0.029427581818052245,0.017351642562037972,-0.04677922438009022,183.0,55.0
P2P_B000,0.7,0.03764757141470909,0.07642240864914336,0.03099444219676531,0.03877483723443427,0.006653129217943782,-0.04542796645237805,89.0,59.0
P2P_B000,0.7,0.0708465576171875,0.07873609219094996,0.0730438411024609,0.007889534573762458,0.002197283485273399,-0.005692251088489059,212.0,196.0
P2P_B000,0.7,0.06237781047821045,0.078303779553118,0.051998754956456436,0.01592596907490755,0.010379055521754013,-0.026305024596661564,186.0,118.0
P2P_B000,0.7,0.10443688929080963,0.09370310773564496,0.11736811692748539,0.010733781555164676,0.012931227636675757,0.023665009191840433,284.0,276.0
